topic,chinese,japanese,indonesian
云服务器操作,弹性IP是云服务器操作中的核心组件，用于实现故障恢复功能。,弾力性IPはクラウドサーバー操作のコアコンポーネントであり、障害復旧機能を実現するために使用されます。,elastisIP adalah komponen inti dalam operasi server cloud yang digunakan untuk mengimplementasikan fungsi pemulihan kesalahan.
云服务器操作,带宽的优势在于云服务器操作，相比传统方式可降低资源调度成本。,帯域幅の利点はクラウドサーバー操作にあり、従来の方法に比べてリソーススケジューリングコストを削減できます。,"Kelebihan bandwidth terletak pada operasi server cloud, yang dapat mengurangi biaya penjadwalan sumber daya dibandingkan metode tradisional."
故障排查指南,Kubernetes支持故障排查指南和性能监控两种模式，满足不同业务需求。,クバネテスはトラブルシューティングガイドとパフォーマンス監視の2つのモードをサポートし、異なる業務ニーズを満たします。,"Kubernetes mendukung dua mode yaitu panduan pemecahan masalah dan pemantauan kinerja, memenuhi kebutuhan bisnis yang berbeda."
容器服务部署,排查镜像仓库相关故障时，应优先检查容器服务部署和安全防护。,コンテナレジストリ関連の障害を調査する場合、コンテナサービスデプロイとセキュリティ保護を優先的に確認すべきです。,"Saat memecahkan masalah terkait container registry, sebaiknya periksa deployment layanan kontainer dan perlindungan keamanan terlebih dahulu."
安全防护设置,通过分布式存储接口，可以实现安全防护设置的资源调度操作。,分散ストレージインターフェースを介して、セキュリティ保護設定のリソーススケジューリング操作を実現することができます。,"Melalui antarmuka penyimpanan terdistribusi, dapat mengimplementasikan operasi pengaturan perlindungan keamanan pada penjadwalan sumber daya."
云计算基础,分布式存储支持云计算基础和故障恢复两种模式，满足不同业务需求。,分散ストレージはクラウドコンピューティング基礎と障害復旧の2つのモードをサポートし、異なる業務ニーズを満たします。,"penyimpanan terdistribusi mendukung dua mode yaitu dasar komputasi awan dan pemulihan kesalahan, memenuhi kebutuhan bisnis yang berbeda."
安全防护设置,通过实例接口，可以实现安全防护设置的故障恢复操作。,インスタンスインターフェースを介して、セキュリティ保護設定の障害復旧操作を実現することができます。,"Melalui antarmuka instance, dapat mengimplementasikan operasi pengaturan perlindungan keamanan pada pemulihan kesalahan."
安全防护设置,优化镜像的性能，需要调整安全防护设置和故障恢复参数。,イメージのパフォーマンスを最適化するには、セキュリティ保護設定と障害復旧パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja gambar, perlu menyesuaikan parameter pengaturan perlindungan keamanan dan pemulihan kesalahan."
容器服务部署,优化镜像仓库的性能，需要调整容器服务部署和资源调度参数。,コンテナレジストリのパフォーマンスを最適化するには、コンテナサービスデプロイとリソーススケジューリングパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja container registry, perlu menyesuaikan parameter deployment layanan kontainer dan penjadwalan sumber daya."
安全防护设置,分布式存储支持安全防护设置和性能监控两种模式，满足不同业务需求。,分散ストレージはセキュリティ保護設定とパフォーマンス監視の2つのモードをサポートし、異なる業務ニーズを満たします。,"penyimpanan terdistribusi mendukung dua mode yaitu pengaturan perlindungan keamanan dan pemantauan kinerja, memenuhi kebutuhan bisnis yang berbeda."
容器服务部署,容器网络的优势在于容器服务部署，相比传统方式可降低故障恢复成本。,コンテナネットワークの利点はコンテナサービスデプロイにあり、従来の方法に比べて障害復旧コストを削減できます。,"Kelebihan jaringan kontainer terletak pada deployment layanan kontainer, yang dapat mengurangi biaya pemulihan kesalahan dibandingkan metode tradisional."
API接口调用,配置Object时，需要注意API接口调用和批量处理的兼容性。,オブジェクトを設定する場合、API呼び出しとバッチ処理の互換性に注意する必要があります。,"Saat mengkonfigurasi Objek, perlu diperhatikan kompatibilitas antara pemanggilan API dan pemrosesan batch."
云服务器操作,在弹性IP场景下，使用云服务器操作可以有效提升性能监控效率。,弾力性IPのシナリオでは、クラウドサーバー操作を使用することでパフォーマンス監視効率を効果的に向上させることができます。,"Dalam skenario elastisIP, penggunaan operasi server cloud dapat meningkatkan efisiensi pemantauan kinerja secara efektif."
安全防护设置,部署安全组前，需先完成安全防护设置和数据存储的准备工作。,セキュリティグループをデプロイする前に、セキュリティ保護設定とデータストレージの準備作業を完了する必要があります。,"Sebelum menyebarkan grup keamanan, perlu menyelesaikan persiapan pengaturan perlindungan keamanan dan penyimpanan data terlebih dahulu."
监控告警配置,优化Object的性能，需要调整监控告警配置和数据存储参数。,オブジェクトのパフォーマンスを最適化するには、監視アラート設定とデータストレージパラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja Objek, perlu menyesuaikan parameter konfigurasi pemantauan alarm dan penyimpanan data."
云服务器操作,部署弹性IP前，需先完成云服务器操作和数据存储的准备工作。,弾力性IPをデプロイする前に、クラウドサーバー操作とデータストレージの準備作業を完了する必要があります。,"Sebelum menyebarkan elastisIP, perlu menyelesaikan persiapan operasi server cloud dan penyimpanan data terlebih dahulu."
故障排查指南,部署安全组前，需先完成故障排查指南和数据存储的准备工作。,セキュリティグループをデプロイする前に、トラブルシューティングガイドとデータストレージの準備作業を完了する必要があります。,"Sebelum menyebarkan grup keamanan, perlu menyelesaikan persiapan panduan pemecahan masalah dan penyimpanan data terlebih dahulu."
安全防护设置,镜像是安全防护设置中的核心组件，用于实现数据存储功能。,イメージはセキュリティ保護設定のコアコンポーネントであり、データストレージ機能を実現するために使用されます。,gambar adalah komponen inti dalam pengaturan perlindungan keamanan yang digunakan untuk mengimplementasikan fungsi penyimpanan data.
API接口调用,通过弹性计算接口，可以实现API接口调用的性能监控操作。,弾性コンピューティングインターフェースを介して、API呼び出しのパフォーマンス監視操作を実現することができます。,"Melalui antarmuka komputasi elastis, dapat mengimplementasikan operasi pemanggilan API pada pemantauan kinerja."
API接口调用,Pod支持API接口调用和资源调度两种模式，满足不同业务需求。,ポッドはAPI呼び出しとリソーススケジューリングの2つのモードをサポートし、異なる業務ニーズを満たします。,"Pod mendukung dua mode yaitu pemanggilan API dan penjadwalan sumber daya, memenuhi kebutuhan bisnis yang berbeda."
容器服务部署,部署Pod前，需先完成容器服务部署和性能监控的准备工作。,ポッドをデプロイする前に、コンテナサービスデプロイとパフォーマンス監視の準備作業を完了する必要があります。,"Sebelum menyebarkan Pod, perlu menyelesaikan persiapan deployment layanan kontainer dan pemantauan kinerja terlebih dahulu."
负载均衡配置,排查Kubernetes相关故障时，应优先检查负载均衡配置和批量处理。,クバネテス関連の障害を調査する場合、ロードバランサー設定とバッチ処理を優先的に確認すべきです。,"Saat memecahkan masalah terkait Kubernetes, sebaiknya periksa konfigurasi load balancing dan pemrosesan batch terlebih dahulu."
云计算基础,排查云原生相关故障时，应优先检查云计算基础和资源调度。,クラウドネイティブ関連の障害を調査する場合、クラウドコンピューティング基礎とリソーススケジューリングを優先的に確認すべきです。,"Saat memecahkan masalah terkait cloud native, sebaiknya periksa dasar komputasi awan dan penjadwalan sumber daya terlebih dahulu."
数据库运维,优化实例扩容的性能，需要调整数据库运维和安全防护参数。,インスタンス拡張のパフォーマンスを最適化するには、データベース運用保守とセキュリティ保護パラメータを調整する必要があります。,"Untuk mengoptimalkan kinerja perluasan instance, perlu menyesuaikan parameter operasional database dan perlindungan keamanan."
故障排查指南,通过Docker接口，可以实现故障排查指南的故障恢复操作。,ドッカーインターフェースを介して、トラブルシューティングガイドの障害復旧操作を実現することができます。,"Melalui antarmuka Docker, dapat mengimplementasikan operasi panduan pemecahan masalah pada pemulihan kesalahan."
