topic,chinese,japanese,indonesian,zh_ratio_in_ja,zh_ratio_in_id,has_mixed_lang
API接口调用,部署Pod前，需先完成API接口调用和批量处理的准备工作。,ポッドをデプロイする前に、API接口调用と批量处理の準備作業を完了する必要があります。,"Sebelum menyebarkan Pod, perlu menyelesaikan persiapan API接口调用 dan 批量处理 terlebih dahulu.",0.3953488372093023,0.09090909090909091,True
API接口调用,镜像是API接口调用中的核心组件，用于实现资源调度功能。,イメージはAPI接口调用のコアコンポーネントであり、资源调度機能を実現するために使用されます。,gambar adalah komponen inti dalam API接口调用 yang digunakan untuk mengimplementasikan fungsi 资源调度.,0.2978723404255319,0.08421052631578947,True
云计算基础,算力支持云计算基础和安全防护两种模式，满足不同业务需求。,算力は云计算基础と安全防护の2つのモードをサポートし、異なる業務ニーズを満たします。,"算力 mendukung dua mode yaitu 云计算基础 dan 安全防护, memenuhi kebutuhan bisnis yang berbeda.",0.35714285714285715,0.13253012048192772,True
对象存储使用,访问密钥是对象存储使用中的核心组件，用于实现批量处理功能。,アクセスキーは对象存储使用のコアコンポーネントであり、批量处理機能を実現するために使用されます。,kunci akses adalah komponen inti dalam 对象存储使用 yang digunakan untuk mengimplementasikan fungsi 批量处理.,0.3333333333333333,0.10101010101010101,True
监控告警配置,Kubernetes的主要作用是监控告警配置，适用于故障恢复场景。,クバネテスの主な役割は监控告警配置であり、故障恢复のシナリオに適しています。,"Peran utama Kubernetes adalah 监控告警配置, yang cocok untuk skenario 故障恢复.",0.3684210526315789,0.14492753623188406,True
监控告警配置,在虚拟机场景下，使用监控告警配置可以有效提升安全防护效率。,仮想マシンのシナリオでは、监控告警配置を使用することで安全防护効率を効果的に向上させることができます。,"Dalam skenario mesin virtual, penggunaan 监控告警配置 dapat meningkatkan efisiensi 安全防护 secara efektif.",0.4117647058823529,0.10309278350515463,True
容器服务部署,Deployment的主要作用是容器服务部署，适用于性能监控场景。,Deploymentの主な役割は容器服务部署であり、性能监控のシナリオに適しています。,"Peran utama Deployment adalah 容器服务部署, yang cocok untuk skenario 性能监控.",0.32558139534883723,0.14492753623188406,True
容器服务部署,Deployment支持容器服务部署和批量处理两种模式，满足不同业务需求。,Deploymentは容器服务部署と批量处理の2つのモードをサポートし、異なる業務ニーズを満たします。,"Deployment mendukung dua mode yaitu 容器服务部署 dan 批量处理, memenuhi kebutuhan bisnis yang berbeda.",0.27450980392156865,0.10869565217391304,True
监控告警配置,虚拟机是监控告警配置中的核心组件，用于实现故障恢复功能。,仮想マシンは监控告警配置のコアコンポーネントであり、故障恢复機能を実現するために使用されます。,mesin virtual adalah komponen inti dalam 监控告警配置 yang digunakan untuk mengimplementasikan fungsi 故障恢复.,0.3829787234042553,0.09900990099009901,True
对象存储使用,在生命周期场景下，使用对象存储使用可以有效提升安全防护效率。,生命周期のシナリオでは、对象存储使用を使用することで安全防护効率を効果的に向上させることができます。,"Dalam skenario 生命周期, penggunaan 对象存储使用 dapat meningkatkan efisiensi 安全防护 secara efektif.",0.46,0.1590909090909091,True
故障排查指南,通过实例接口，可以实现故障排查指南的资源调度操作。,インスタンスインターフェースを介して、故障排查指南の资源调度操作を実現することができます。,"Melalui antarmuka instance, dapat mengimplementasikan operasi 故障排查指南 pada 资源调度.",0.3333333333333333,0.12658227848101267,True
监控告警配置,Pod支持监控告警配置和资源调度两种模式，满足不同业务需求。,ポッドは监控告警配置と资源调度の2つのモードをサポートし、異なる業務ニーズを満たします。,"Pod mendukung dua mode yaitu 监控告警配置 dan 资源调度, memenuhi kebutuhan bisnis yang berbeda.",0.3181818181818182,0.11764705882352941,True
故障排查指南,虚拟机支持故障排查指南和资源调度两种模式，满足不同业务需求。,仮想マシンは故障排查指南と资源调度の2つのモードをサポートし、異なる業務ニーズを満たします。,"mesin virtual mendukung dua mode yaitu 故障排查指南 dan 资源调度, memenuhi kebutuhan bisnis yang berbeda.",0.34782608695652173,0.10526315789473684,True
